player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fantasy_points
Lamar Jackson,BAL,QB,3859.3,32.3,8.2,828.1,3.9,0,0,0,373.38
Josh Allen,BUF,QB,3904.1,29.0,10.4,572.5,10.7,0,0,0,372.81
Jalen Hurts,PHI,QB,3530.8,23.6,8.6,633.6,12.7,0,0,0,357.99
Jayden Daniels,WAS,QB,3853.7,26.7,10.5,750.1,5.7,0,0,0,349.16
Joe Burrow,CIN,QB,4625.6,35.7,10.4,179.7,2.1,0,0,0,337.59
Patrick Mahomes II,KC,QB,4259.5,30.3,12.1,365.6,2.8,0,0,0,320.74
Kyler Murray,ARI,QB,3808.4,24.2,11.1,551.7,5.1,0,0,0,312.71
Baker Mayfield,TB,QB,4151.0,32.7,14.6,288.5,2.6,0,0,0,312.09
Brock Purdy,SF,QB,4276.1,27.0,12.4,279.0,3.6,0,0,0,303.74
Bo Nix,DEN,QB,3789.9,27.4,12.0,423.3,3.5,0,0,0,300.53
Justin Fields,NYJ,QB,3232.9,19.3,10.8,744.3,6.1,0,0,0,295.95
Caleb Williams,CHI,QB,3750.6,23.8,10.3,469.9,2.6,0,0,0,287.21
Justin Herbert,LAC,QB,3943.9,25.6,8.5,272.0,2.6,0,0,0,285.96
Dak Prescott,DAL,QB,4255.9,27.6,12.1,178.1,1.9,0,0,0,285.65
J.J. McCarthy,MIN,QB,4045.6,28.5,14.4,258.2,2.1,0,0,0,285.44
Jared Goff,DET,QB,4336.6,29.9,11.4,61.5,0.5,0,0,0,279.41
C.J. Stroud,HOU,QB,4056.7,24.9,10.6,256.8,1.7,0,0,0,276.55
Drake Maye,NE,QB,3568.8,22.7,12.7,491.5,3.1,0,0,0,275.9
Trevor Lawrence,JAC,QB,3973.4,23.4,13.0,252.2,3.1,0,0,0,270.36
Jordan Love,GB,QB,3888.3,27.6,12.1,166.9,1.9,0,0,0,269.82
Bryce Young,CAR,QB,3638.6,21.7,12.0,294.8,3.5,0,0,0,258.82
